,Symbol,Company,Ongoing/ One-time,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Amount transferred to Unspent CSR Account for the project (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village),Category
0,20MICRONS,20 MICRONS LTD.,One-time,COMMUNITY HEALTHCARE,PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE,SCHEDULE VII (I),,45.37,,20 MICRONS FOUNDATION TRUST,45.37,,,GUJARAT (VADODARA),Medical and Health
8,3MINDIA,3M INDIA LTD.,Ongoing,SMILE ON WHEELS MOBILE HEALTH CLINIC INTERVENTION IN ASPIRATIONAL DISTRICTS,"(I) ERADICATING HUNGER, POVERTY AND MALNUTRITION, PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION [INCLUDING CONTRIBUTION TO THE SWACH BHARAT KOSH SET-UP BY THE CENTRAL GOVERNMENT FOR THE PROMOTION OF SANITATION] AND MAKING AVAILABLE SAFE DRINKING WATER.",SCHEDULE VII (I),485.27,55.0,,,,SMILE FOUNDATION,55.0,"ASSAM (GOALPARA),MAHARASHTRA (PUNE),ODISHA (BALANGIR),UTTAR PRADESH (SIDDHARTH NAGAR)",Medical and Health
10,3MINDIA,3M INDIA LTD.,One-time,ICU AUGMENTATION PROGRAMS,"(XII) DISASTER MANAGEMENT, INCLUDING RELIEF, REHABILITATION AND RECONSTRUCTION ACTIVITIES",SCHEDULE VII (XII),55.86,55.86,,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",55.86,KARNATAKA (BENGALURU),Medical and Health
12,3MINDIA,3M INDIA LTD.,One-time,COMMUNITY VACCINATION PROGRAMS,"(I) ERADICATING HUNGER, POVERTY AND MALNUTRITION, PROMOTING HEALTH CARE INCLUDING PREVENTIVE HEALTH CARE AND SANITATION4 [INCLUDING CONTRIBUTION TO THE SWACH BHARAT KOSH SET- UP BY THE CENTRAL GOVERNMENT FOR THE PROMOTION OF SANITATION] AND MAKING AVAILABLE SAFE DRINKING WATER.",SCHEDULE VII (I),269.44,269.44,,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",269.44,"KARNATAKA (BENGALURU),MAHARASHTRA (AHMEDNAGAR,NASHIK,PUNE),TAMIL NADU (MADURAI,NAGAPATTINAM)",Medical and Health
18,AARTIDRUGS,AARTI DRUGS LTD.,One-time,"MEDICAL RELIEF, POVERTY RELIEF, EDUCATION","(I), (II)","SCHEDULE VII (I), SCHEDULE VII (II)",,51.0,,,,POPATLAL BHACHUBHAI NANDU CHARITABLE TRUST,51.0,"GUJARAT,MAHARASHTRA",Medical and Health
19,AARTIDRUGS,AARTI DRUGS LTD.,One-time,OLD AGE WELFARE,(III),SCHEDULE VII (III),,5.0,,AARTI FOUNDATION,5.0,,,MAHARASHTRA (THANE),Medical and Health
22,AARTIDRUGS,AARTI DRUGS LTD.,One-time,"HEALTHCARE, EDUCATION, DISASTER RELIEF","(I), (II), (XII)","SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (XII)",,21.06,,,,,21.06,"GUJARAT (VALSAD),MAHARASHTRA (PALGHAR)",Medical and Health
23,AARTIDRUGS,AARTI DRUGS LTD.,One-time,COVID SUPPORT,(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,75.0,,AARTI FOUNDATION,75.0,,,MAHARASHTRA (MUMBAI),Medical and Health
29,AARTIIND,AARTI INDUSTRIES LTD.,One-time,COVID RELIEF & SUPPORT,(I),"SCHEDULE VII (I), SCHEDULE VII (XII)",,301.0,,AARTI FOUNDATION,301.0,,,"GUJARAT,MAHARASHTRA",Medical and Health
33,AARTIIND,AARTI INDUSTRIES LTD.,One-time,DISASTER RELIEF,(XII),SCHEDULE VII (XII),,25.0,,AARTI FOUNDATION,25.0,,,"GUJARAT (SAURASHTRA),MAHARASHTRA (CHIPLUN,KONKAN)",Medical and Health
34,AARTIIND,AARTI INDUSTRIES LTD.,One-time,HEALTHCARE,(I),SCHEDULE VII (I),,38.0,,AARTI FOUNDATION,38.0,,,"GUJARAT,MAHARASHTRA",Medical and Health
35,AARTIIND,AARTI INDUSTRIES LTD.,Ongoing,HEALTHCARE,"(I) OF SCHEDULE VII OF THE COMPANIES ACT, 2013",SCHEDULE VII (I),95.0,100.0,,AARTI FOUNDATION,50.0,JITO,50.0,MAHARASHTRA (THANE),Medical and Health
36,AARTISURF,AARTI SURFACTANTS LTD.,One-time,HEALTHCARE FACILITIES THROUGH THE OFFICE OF THE COLLECTOR DISTRICT DHAR,(I) & (XII),"SCHEDULE VII (I), SCHEDULE VII (XII)",,7.0,,,7.0,,,MADHYA PRADESH (DHAR),Medical and Health
